"Checked"	"Master"	"Accession"	"Description"	"Coverage"	"# Peptides"	"# PSMs"	"# Unique Peptides"	"# Protein Groups"	"# AAs"	"MW [kDa]"	"calc. pI"	"Ratios: (127) / (126)"	"Ratios: (128) / (126)"	"Ratios: (129) / (126)"	"Ratios: (130) / (126)"	"Ratios: (131) / (126)"	"Ratio Standard Errors [%]: (127) / (126)"	"Ratio Standard Errors [%]: (128) / (126)"	"Ratio Standard Errors [%]: (129) / (126)"	"Ratio Standard Errors [%]: (130) / (126)"	"Ratio Standard Errors [%]: (131) / (126)"	"emPAI"	"# Peptides A2"	"# Cumulative Decoys A2"	"FDR A2"	"Confidence A2"	"|Log Prob| A2"
"False"	"IsMasterProtein"	"Q8AVE3"	"Hspa5 protein OS=Xenopus laevis GN=hspa5 PE=2 SV=1"	"45.1908396946565"	"29"	"31"	"29"	"1"	"655"	"72.375"	"5.14"	"0.77"	"0.75"	"0.96"	"0.84"	"0.91"	"3.25"	"3.66"	"1.75"	"3.09"	"3.56"	""	"29"	"0"	"0"	"Green"	"143.510451085306"
"False"	"IsMasterProtein"	"K1C10_HUMAN"	"(Common contaminant protein)"	"44.3507588532884"	"24"	"25"	"24"	"1"	"593"	"59.483"	"5.21"	"0.70"	"0.42"	"0.66"	"0.70"	"1.29"	"4.50"	"14.23"	"10.75"	"5.64"	"3.25"	""	"24"	"0"	"0"	"Green"	"140.050214563762"
"False"	"IsMasterProtein"	"Q6B4U5"	"Malate dehydrogenase OS=Xenopus laevis GN=mdh2 PE=2 SV=1"	"65.0887573964497"	"16"	"20"	"16"	"1"	"338"	"35.766"	"8.59"	"0.76"	"0.84"	"0.94"	"0.80"	"0.84"	"5.81"	"6.74"	"7.55"	"5.24"	"8.54"	""	"16"	"0"	"0"	"Green"	"139.8409336635"
"False"	"IsMasterProtein"	"Q92122"	"Pyruvate kinase PKM OS=Xenopus laevis GN=pkm PE=2 SV=1"	"55.2182163187856"	"35"	"41"	"33"	"1"	"527"	"57.489"	"6.99"	"0.72"	"0.80"	"0.97"	"0.77"	"0.90"	"3.45"	"3.30"	"2.84"	"4.64"	"3.98"	""	"35"	"0"	"0"	"Green"	"134.883887941569"
"False"	"IsMasterProtein"	"Q68EY5"	"ATP synthase subunit alpha OS=Xenopus laevis GN=atp5a1 PE=2 SV=1"	"52.622061482821"	"30"	"33"	"30"	"1"	"553"	"59.851"	"9.1"	"0.75"	"0.87"	"0.98"	"0.80"	"0.79"	"2.67"	"3.92"	"4.24"	"3.08"	"4.61"	""	"30"	"0"	"0"	"Green"	"131.431964982514"
"False"	"IsMasterProteinCandidate"	"A2BDB0"	"Actin, cytoplasmic 2 OS=Xenopus laevis GN=actg1 PE=2 SV=1"	"50.6666666666667"	"23"	"25"	"23"	"1"	"375"	"41.766"	"5.48"	"0.67"	"0.78"	"0.96"	"0.74"	"0.86"	"3.07"	"3.57"	"4.31"	"3.46"	"3.14"	""	"23"	"0"	"0"	"Green"	"129.503357205997"
"False"	"IsMasterProteinCandidate"	"P53506"	"Actin, cytoplasmic type 8 OS=Xenopus laevis PE=3 SV=1"	"50.531914893617"	"23"	"25"	"23"	"1"	"376"	"41.821"	"5.48"	"0.67"	"0.78"	"0.96"	"0.74"	"0.86"	"3.07"	"3.57"	"4.31"	"3.46"	"3.14"	""	"23"	"0"	"0"	"Green"	"129.503357205997"
"False"	"IsMasterProteinCandidate"	"Q32NP0"	"MGC131002 protein OS=Xenopus laevis GN=actg1 PE=2 SV=1"	"50.531914893617"	"23"	"25"	"23"	"1"	"376"	"41.777"	"5.48"	"0.67"	"0.78"	"0.96"	"0.74"	"0.86"	"3.07"	"3.57"	"4.31"	"3.46"	"3.14"	""	"23"	"0"	"0"	"Green"	"129.503357205997"
"False"	"IsMasterProteinCandidate"	"O93400"	"Actin, cytoplasmic 1 OS=Xenopus laevis GN=actb PE=2 SV=1"	"50.6666666666667"	"23"	"25"	"23"	"1"	"375"	"41.74"	"5.48"	"0.67"	"0.78"	"0.96"	"0.74"	"0.86"	"3.07"	"3.57"	"4.31"	"3.46"	"3.14"	""	"23"	"0"	"0"	"Green"	"129.503357205997"
"False"	"IsMasterProtein"	"P53505"	"Actin, cytoplasmic type 5 OS=Xenopus laevis PE=3 SV=1"	"50.531914893617"	"23"	"25"	"23"	"1"	"376"	"41.823"	"5.48"	"0.67"	"0.78"	"0.96"	"0.74"	"0.86"	"3.07"	"3.57"	"4.31"	"3.46"	"3.14"	""	"23"	"0"	"0"	"Green"	"129.503357205997"
"False"	"IsMasterProtein"	"Q7ZY52"	"Glyceraldehyde-3-phosphate dehydrogenase OS=Xenopus laevis PE=2 SV=1"	"61.2612612612613"	"24"	"31"	"23"	"1"	"333"	"35.812"	"8.05"	"0.70"	"0.85"	"0.90"	"0.81"	"0.92"	"4.70"	"1.45"	"2.42"	"3.26"	"4.31"	""	"24"	"0"	"0"	"Green"	"128.851932410166"
"False"	"IsMasterProtein"	"Q5U4V6"	"LOC397931 protein OS=Xenopus laevis GN=LOC397931 PE=2 SV=1"	"55.1111111111111"	"22"	"23"	"22"	"1"	"450"	"50.035"	"5.15"	"0.66"	"0.84"	"1.00"	"0.73"	"0.87"	"6.27"	"5.27"	"6.37"	"5.05"	"4.69"	""	"22"	"0"	"0"	"Green"	"124.874438221647"
"False"	"IsMasterProtein"	"Q8AVB7"	"Cct2-prov protein OS=Xenopus laevis GN=cct2 PE=2 SV=1"	"58.8785046728972"	"27"	"30"	"27"	"1"	"535"	"57.629"	"6.21"	"0.68"	"0.91"	"1.00"	"0.85"	"1.02"	"6.96"	"2.86"	"3.45"	"3.48"	"4.49"	""	"27"	"0"	"0"	"Green"	"122.341062461149"
"False"	"IsMasterProtein"	"Q7ZXN9"	"MGC53348 protein OS=Xenopus laevis PE=2 SV=1"	"43.6036036036036"	"22"	"25"	"21"	"1"	"555"	"60.088"	"6.21"	"0.70"	"0.83"	"0.92"	"0.82"	"0.83"	"5.80"	"3.52"	"3.47"	"3.46"	"6.25"	""	"22"	"0"	"0"	"Green"	"119.280945514349"
"False"	"IsMasterProtein"	"A2VD63"	"Uncharacterized protein OS=Xenopus laevis PE=2 SV=1"	"36.3975155279503"	"34"	"35"	"34"	"1"	"805"	"92.608"	"4.82"	"0.75"	"0.88"	"1.14"	"0.76"	"0.87"	"3.55"	"4.30"	"5.31"	"3.36"	"2.90"	""	"34"	"0"	"0"	"Green"	"117.904494238975"
"False"	"IsMasterProtein"	"Q9I8J7"	"MGC69114 protein OS=Xenopus laevis GN=tktl2 PE=2 SV=1"	"35.84"	"22"	"26"	"22"	"1"	"625"	"67.409"	"6.73"	"0.63"	"0.84"	"0.96"	"0.77"	"0.79"	"6.16"	"4.13"	"3.01"	"5.17"	"4.40"	""	"22"	"0"	"0"	"Green"	"117.049657480841"
"False"	"IsMasterProtein"	"Q3KQ54"	"MGC130953 protein OS=Xenopus laevis GN=atic PE=2 SV=1"	"40.2376910016978"	"21"	"23"	"21"	"1"	"589"	"63.788"	"6.55"	"0.71"	"0.81"	"1.06"	"0.78"	"0.95"	"5.19"	"3.46"	"5.07"	"4.07"	"5.57"	""	"21"	"0"	"0"	"Green"	"114.397381775924"
"False"	"IsMasterProtein"	"Q7ZTL5"	"Cct8-prov protein OS=Xenopus laevis GN=cct8 PE=2 SV=1"	"49.6336996336996"	"29"	"32"	"29"	"1"	"546"	"59.321"	"5.53"	"0.70"	"0.82"	"1.02"	"0.84"	"0.92"	"6.19"	"3.14"	"5.16"	"2.82"	"5.16"	""	"29"	"0"	"0"	"Green"	"111.989689089037"
"False"	"IsMasterProtein"	"Q05AY3"	"Cn2 protein OS=Xenopus laevis GN=cn2 PE=2 SV=1"	"37.3417721518987"	"18"	"20"	"18"	"1"	"474"	"52.74"	"5.44"	"0.62"	"0.80"	"0.91"	"0.80"	"0.79"	"5.55"	"3.58"	"5.12"	"2.92"	"7.95"	""	"18"	"0"	"0"	"Green"	"111.443283873121"
"False"	"IsMasterProteinCandidate"	"Q7T0R7"	"Cn2-prov protein OS=Xenopus laevis GN=cndp2 PE=2 SV=1"	"37.3417721518987"	"18"	"20"	"18"	"1"	"474"	"52.712"	"5.44"	"0.62"	"0.80"	"0.91"	"0.80"	"0.79"	"5.55"	"3.58"	"5.12"	"2.92"	"7.95"	""	"18"	"0"	"0"	"Green"	"111.443283873121"
"False"	"IsMasterProtein"	"Q6DCT5"	"MGC80785 protein OS=Xenopus laevis GN=aldh2 PE=2 SV=1"	"40.4990403071017"	"22"	"24"	"21"	"1"	"521"	"57.213"	"7.65"	"0.81"	"0.84"	"0.95"	"0.72"	"0.75"	"4.91"	"2.86"	"5.51"	"6.78"	"3.83"	""	"22"	"0"	"0"	"Green"	"104.085535006456"
"False"	"IsMasterProtein"	"Q9PSX0"	"Fructose-bisphosphate aldolase OS=Xenopus laevis GN=aldoc PE=2 SV=1"	"67.032967032967"	"20"	"23"	"20"	"1"	"364"	"39.248"	"6.54"	"0.69"	"0.84"	"1.07"	"0.77"	"0.87"	"3.01"	"2.78"	"3.06"	"4.93"	"4.77"	""	"20"	"0"	"0"	"Green"	"103.435450437243"
"False"	"IsMasterProtein"	"Q7ZTJ5"	"Protein disulfide-isomerase (Fragment) OS=Xenopus laevis GN=P4hb PE=2 SV=1"	"52.2243713733075"	"29"	"32"	"28"	"1"	"517"	"57.98"	"4.91"	"0.69"	"0.86"	"1.04"	"0.85"	"0.73"	"3.72"	"3.90"	"5.12"	"3.24"	"5.27"	""	"29"	"0"	"0"	"Green"	"101.21506364585"
"False"	"IsMasterProtein"	"Q6NTP7"	"Aconitate hydratase, mitochondrial OS=Xenopus laevis GN=LOC398139 PE=2 SV=1"	"36.7007672634271"	"30"	"31"	"29"	"1"	"782"	"85.386"	"7.11"	"0.75"	"0.80"	"1.03"	"0.78"	"0.77"	"4.20"	"4.14"	"4.75"	"3.63"	"8.10"	""	"30"	"0"	"0"	"Green"	"100.142841345478"
"False"	"IsMasterProtein"	"Q7ZTK6"	"MGC53952 protein OS=Xenopus laevis GN=hspa8 PE=2 SV=1"	"34.5201238390093"	"23"	"26"	"23"	"1"	"646"	"70.748"	"5.4"	"0.68"	"0.83"	"0.92"	"0.80"	"0.82"	"3.37"	"2.78"	"6.34"	"2.96"	"4.76"	""	"23"	"0"	"0"	"Green"	"99.8671144943854"
"False"	"IsMasterProtein"	"Q6DD48"	"Phosphoglycerate kinase OS=Xenopus laevis GN=pgk1 PE=2 SV=1"	"54.4364508393285"	"27"	"28"	"27"	"1"	"417"	"44.554"	"7.06"	"0.66"	"0.86"	"0.99"	"0.76"	"0.89"	"3.55"	"4.37"	"3.01"	"4.87"	"3.60"	""	"27"	"0"	"0"	"Green"	"99.0043750351271"
"False"	"IsMasterProtein"	"P30883"	"Tubulin beta-4 chain OS=Xenopus laevis GN=tubb4 PE=2 SV=1"	"50.7865168539326"	"18"	"20"	"18"	"1"	"445"	"49.784"	"4.89"	"0.76"	"0.88"	"0.92"	"0.76"	"0.90"	"5.85"	"4.34"	"7.46"	"4.61"	"5.62"	""	"18"	"0"	"0"	"Green"	"98.3700850324936"
"False"	"IsMasterProtein"	"P52297"	"Importin subunit beta OS=Xenopus laevis GN=kpnb1 PE=1 SV=3"	"24.3150684931507"	"18"	"18"	"18"	"1"	"876"	"97.124"	"4.79"	"0.68"	"0.78"	"0.89"	"0.83"	"0.84"	"8.68"	"5.20"	"6.59"	"4.48"	"8.88"	""	"18"	"0"	"0"	"Green"	"97.4919219906407"
"False"	"IsMasterProtein"	"Q7SZ23"	"Gstm2-prov protein OS=Xenopus laevis GN=gstm1 PE=2 SV=1"	"68.9497716894977"	"17"	"17"	"17"	"1"	"219"	"25.375"	"7.83"	"0.84"	"0.77"	"0.87"	"0.75"	"0.80"	"4.56"	"3.99"	"10.16"	"5.64"	"7.31"	""	"17"	"0"	"0"	"Green"	"97.3087425426269"
"False"	"IsMasterProtein"	"Q7ZYT3"	"Rpls3-b protein OS=Xenopus laevis GN=rpls3-b PE=2 SV=1"	"68.6991869918699"	"20"	"23"	"19"	"1"	"246"	"26.999"	"9.66"	"0.65"	"0.86"	"0.94"	"0.81"	"0.83"	"4.41"	"4.38"	"4.07"	"5.98"	"3.55"	""	"20"	"0"	"0"	"Green"	"96.4515054129437"
"False"	"IsMasterProtein"	"K22E_HUMAN"	"(Common contaminant protein)"	"35.5038759689922"	"19"	"19"	"19"	"1"	"645"	"65.825"	"8"	"0.73"	"0.49"	"0.79"	"0.75"	"1.21"	"4.85"	"15.00"	"8.73"	"6.99"	"3.87"	""	"19"	"0"	"0"	"Green"	"96.2364953576624"
"False"	"IsMasterProtein"	"K1C9_HUMAN"	"(Common contaminant protein)"	"41.091492776886"	"21"	"23"	"21"	"1"	"623"	"62.092"	"5.3"	"0.56"	"0.58"	"0.67"	"0.57"	"1.27"	"3.52"	"10.27"	"5.70"	"8.32"	"3.84"	""	"21"	"0"	"0"	"Green"	"95.4593490495273"
"False"	"IsMasterProtein"	"P26642"	"Elongation factor 1-gamma-A OS=Xenopus laevis GN=eef1g-a PE=1 SV=1"	"38.9908256880734"	"20"	"25"	"20"	"1"	"436"	"49.759"	"7.68"	"0.65"	"0.79"	"0.84"	"0.83"	"0.83"	"5.73"	"2.52"	"7.96"	"5.86"	"6.90"	""	"20"	"0"	"0"	"Green"	"95.4116930271427"
"False"	"IsMasterProtein"	"Q6GNV0"	"MGC80858 protein OS=Xenopus laevis GN=pa2g4 PE=2 SV=1"	"51.7948717948718"	"22"	"22"	"22"	"1"	"390"	"43.443"	"6.8"	"0.72"	"0.91"	"1.02"	"0.85"	"0.85"	"4.72"	"3.85"	"5.00"	"4.09"	"4.87"	""	"22"	"0"	"0"	"Green"	"94.1804952947186"
"False"	"IsMasterProtein"	"Q7ZYA3"	"Pgm2-prov protein OS=Xenopus laevis GN=pgm1 PE=2 SV=1"	"38.6120996441281"	"20"	"20"	"20"	"1"	"562"	"61.561"	"6.14"	"0.80"	"0.86"	"0.98"	"0.87"	"0.89"	"5.40"	"3.90"	"4.50"	"4.36"	"4.36"	""	"20"	"0"	"0"	"Green"	"93.6814061863681"
"False"	"IsMasterProtein"	"Q6GP33"	"Glucose-6-phosphate isomerase OS=Xenopus laevis GN=gpi PE=2 SV=1"	"44.4846292947559"	"21"	"26"	"20"	"1"	"553"	"62.067"	"7.47"	"0.70"	"0.79"	"0.96"	"0.81"	"0.86"	"4.26"	"3.26"	"6.99"	"3.90"	"5.24"	""	"21"	"0"	"0"	"Green"	"93.5146246896268"
"False"	"IsMasterProtein"	"Q801S7"	"Uba1a protein OS=Xenopus laevis GN=uba1a PE=2 SV=1"	"30.028328611898"	"26"	"30"	"25"	"1"	"1059"	"117.919"	"5.77"	"0.64"	"0.85"	"0.91"	"0.78"	"0.89"	"7.10"	"3.64"	"2.78"	"3.21"	"4.30"	""	"26"	"0"	"0"	"Green"	"93.0271755216578"
"False"	"IsMasterProtein"	"Q6IP60"	"Hspd1 protein OS=Xenopus laevis GN=hspd1 PE=2 SV=1"	"44.0414507772021"	"24"	"26"	"23"	"1"	"579"	"61.596"	"5.83"	"0.65"	"0.85"	"0.96"	"0.69"	"0.90"	"6.99"	"5.69"	"4.27"	"7.39"	"4.04"	""	"24"	"0"	"0"	"Green"	"92.6834716981425"
"False"	"IsMasterProteinCandidate"	"Q7ZTR6"	"Hspd1 protein (Fragment) OS=Xenopus laevis GN=Hspd1 PE=2 SV=1"	"45.945945945946"	"24"	"26"	"23"	"1"	"555"	"59.616"	"7.05"	"0.65"	"0.85"	"0.96"	"0.69"	"0.90"	"6.99"	"5.69"	"4.27"	"7.39"	"4.04"	""	"24"	"0"	"0"	"Green"	"92.6834716981425"
"False"	"IsMasterProtein"	"Q8AVH2"	"Ckb-prov protein OS=Xenopus laevis GN=ckb PE=2 SV=1"	"51.8617021276596"	"21"	"25"	"21"	"1"	"376"	"42.214"	"6.61"	"0.72"	"0.85"	"0.94"	"0.80"	"0.86"	"3.51"	"3.76"	"5.20"	"4.53"	"5.26"	""	"21"	"0"	"0"	"Green"	"90.3154088253159"
"False"	"IsMasterProtein"	"O12975"	"Fructose-bisphosphate aldolase OS=Xenopus laevis GN=aldoa PE=2 SV=1"	"47.5274725274725"	"22"	"24"	"22"	"1"	"364"	"39.361"	"8.29"	"0.72"	"0.83"	"1.05"	"0.78"	"0.96"	"7.13"	"4.54"	"4.87"	"3.89"	"4.57"	""	"22"	"0"	"0"	"Green"	"89.22417317311"
"False"	"IsMasterProtein"	"P50143"	"T-complex protein 1 subunit gamma OS=Xenopus laevis GN=cct3 PE=2 SV=2"	"43.8756855575868"	"23"	"25"	"23"	"1"	"547"	"60.598"	"6.27"	"0.72"	"0.84"	"1.06"	"0.81"	"1.03"	"3.32"	"4.74"	"5.01"	"3.18"	"4.90"	""	"23"	"0"	"0"	"Green"	"87.2340186466711"
"False"	"IsMasterProtein"	"Q6GPS9"	"MGC82638 protein OS=Xenopus laevis GN=hadha PE=2 SV=1"	"31.3157894736842"	"22"	"23"	"22"	"1"	"760"	"82.307"	"8.94"	"0.75"	"0.78"	"0.92"	"0.75"	"0.80"	"3.84"	"5.38"	"5.35"	"4.31"	"3.95"	""	"22"	"0"	"0"	"Green"	"85.8687274314267"
"False"	"IsMasterProtein"	"Q7ZWN5"	"Triosephosphate isomerase OS=Xenopus laevis GN=tpi1 PE=2 SV=1"	"71.7741935483871"	"18"	"19"	"18"	"1"	"248"	"26.745"	"7.36"	"0.67"	"0.84"	"0.90"	"0.82"	"0.94"	"4.90"	"4.00"	"4.30"	"2.92"	"3.25"	""	"18"	"0"	"0"	"Green"	"85.1775791503338"
"False"	"IsMasterProtein"	"Q7ZYP8"	"LOC495278 protein (Fragment) OS=Xenopus laevis GN=LOC495278 PE=2 SV=1"	"42.602495543672"	"23"	"24"	"23"	"1"	"561"	"61.119"	"6.55"	"0.69"	"0.85"	"1.01"	"0.82"	"0.97"	"3.88"	"3.00"	"3.10"	"3.66"	"5.47"	""	"23"	"0"	"0"	"Green"	"85.0432140056922"
"False"	"IsMasterProteinCandidate"	"Q9PTK6"	"Perilipin OS=Xenopus laevis GN=fatvg PE=2 SV=1"	"45.343137254902"	"17"	"20"	"15"	"1"	"408"	"44.644"	"5.39"	"0.74"	"0.89"	"1.00"	"0.91"	"0.90"	"11.57"	"5.76"	"7.53"	"5.20"	"7.44"	""	"17"	"0"	"0"	"Green"	"81.9270133365416"
"False"	"IsMasterProtein"	"Q6IP21"	"Perilipin OS=Xenopus laevis GN=plin2 PE=2 SV=1"	"43.2242990654206"	"17"	"20"	"15"	"1"	"428"	"47.168"	"5.06"	"0.74"	"0.89"	"1.00"	"0.91"	"0.90"	"11.57"	"5.76"	"7.53"	"5.20"	"7.44"	""	"17"	"0"	"0"	"Green"	"81.9270133365416"
"False"	"IsMasterProtein"	"Q7ZY98"	"2e999-prov protein OS=Xenopus laevis GN=snd1 PE=2 SV=1"	"21.9646799116998"	"20"	"20"	"20"	"1"	"906"	"101.218"	"6.9"	"0.69"	"0.77"	"0.97"	"0.75"	"0.96"	"5.17"	"4.71"	"4.03"	"7.21"	"4.13"	""	"20"	"0"	"0"	"Green"	"80.3121926941079"
"False"	"IsMasterProtein"	"Q5FWK8"	"MGC85124 protein OS=Xenopus laevis GN=alox12b PE=2 SV=1"	"23.5820895522388"	"16"	"20"	"16"	"1"	"670"	"75.832"	"5.87"	"0.74"	"0.78"	"0.95"	"0.69"	"0.90"	"5.07"	"3.61"	"5.54"	"3.80"	"5.10"	""	"16"	"0"	"0"	"Green"	"79.4231287970057"
"False"	"IsMasterProtein"	"B1WBD3"	"Alanine--tRNA ligase, cytoplasmic OS=Xenopus laevis GN=aars PE=2 SV=1"	"25.5165289256198"	"24"	"25"	"24"	"1"	"968"	"107.451"	"5.54"	"0.71"	"0.80"	"1.06"	"0.80"	"0.92"	"6.58"	"4.27"	"2.93"	"5.85"	"4.76"	""	"24"	"0"	"0"	"Green"	"79.2569876237058"
"False"	"IsMasterProtein"	"Q6GN66"	"T-complex protein 1 subunit delta OS=Xenopus laevis GN=cct4 PE=2 SV=1"	"48.60853432282"	"22"	"31"	"22"	"1"	"539"	"57.855"	"7.61"	"0.70"	"0.83"	"1.03"	"0.87"	"0.90"	"4.67"	"3.61"	"5.41"	"3.11"	"3.30"	""	"22"	"0"	"0"	"Green"	"79.0492247496445"
"False"	"IsMasterProtein"	"Q9W7F2"	"WD repeat-containing protein 1-A OS=Xenopus laevis GN=wdr1-a PE=2 SV=2"	"35.4200988467875"	"20"	"24"	"20"	"1"	"607"	"66.122"	"6.68"	"0.82"	"0.82"	"0.95"	"0.86"	"0.94"	"7.52"	"3.55"	"7.21"	"6.25"	"5.74"	""	"20"	"0"	"0"	"Green"	"77.7571225422741"
"False"	"IsMasterProtein"	"Q6NU02"	"LOC443739 protein OS=Xenopus laevis GN=eif4a1 PE=2 SV=1"	"49.0147783251232"	"20"	"21"	"20"	"1"	"406"	"45.989"	"5.48"	"0.68"	"0.91"	"1.05"	"0.85"	"0.87"	"3.54"	"3.17"	"4.42"	"5.04"	"3.51"	""	"20"	"0"	"0"	"Green"	"77.7223324812213"
"False"	"IsMasterProtein"	"Q7SZ11"	"Annexin OS=Xenopus laevis PE=2 SV=1"	"39.3586005830904"	"15"	"20"	"15"	"1"	"343"	"38.151"	"7.66"	"0.68"	"0.77"	"0.96"	"0.67"	"0.90"	"2.93"	"10.83"	"5.63"	"10.88"	"6.94"	""	"15"	"0"	"0"	"Green"	"76.6388454978525"
"False"	"IsMasterProtein"	"Q91896"	"14-3-3 protein zeta OS=Xenopus laevis GN=ywhaz PE=2 SV=2"	"57.9591836734694"	"17"	"18"	"17"	"1"	"245"	"27.712"	"4.79"	"0.76"	"0.89"	"1.02"	"0.74"	"0.84"	"3.74"	"4.75"	"3.33"	"4.14"	"5.90"	""	"17"	"0"	"0"	"Green"	"76.4365116059021"
"False"	"IsMasterProtein"	"Q8AVI3"	"60S acidic ribosomal protein P0 OS=Xenopus laevis GN=rplp0 PE=2 SV=1"	"35.8730158730159"	"13"	"16"	"13"	"1"	"315"	"34.076"	"5.57"	"0.67"	"0.81"	"0.92"	"0.77"	"0.83"	"4.13"	"2.52"	"7.02"	"4.59"	"9.04"	""	"13"	"0"	"0"	"Green"	"76.3431527758833"
